video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count
AEZmmOUQkBY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-01T22:14:56Z,2025,12,67724,2260,1518
pvJbVUbflHI,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-12-01T18:01:03Z,2025,12,608858,4475,1031
dcYrW__zTAc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-30T17:01:07Z,2025,11,66100,1991,175
oTI7fE535k0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-29T17:01:21Z,2025,11,64988,2424,125
wZ6jBRh84-8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-29T15:01:50Z,2025,11,34246,1643,437
XLi5UjeFc74,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-28T17:01:03Z,2025,11,22754,510,38
AaL5xyaUglM,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-28T15:00:18Z,2025,11,19312,859,234
U4FaWr2ZHwY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-27T17:00:58Z,2025,11,77638,3259,305
6VtPFZ4SIow,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-27T02:33:14Z,2025,11,166335,10077,1892
5KmCZMHC0hM,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-26T16:21:03Z,2025,11,79034,1967,181
odIz6Id7OkM,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-26T16:01:17Z,2025,11,478540,1067,398
LoCRTznI8nE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-25T22:59:23Z,2025,11,42692,1997,198
f_f5ao6-fWA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-25T19:28:00Z,2025,11,52034,1408,79
Dv-NVZ25LIo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-25T16:00:23Z,2025,11,599210,3093,721
