id_2020,id_2016,lib_con_scale,democrat_thermometer,republican_thermometer,youtube_use,election_year
514103,,Extremely Liberal,80.0,0.0,Yes,2020
404725,,Liberal,100.0,0.0,Yes,2020
206167,,DK,0.0,0.0,No,2020
426114,,Extremely Liberal,60.0,0.0,No,2020
216867,,Slightly liberal,70.0,40.0,Yes,2020
435330,,DK,40.0,70.0,Yes,2020
358150,,Moderate,70.0,0.0,Yes,2020
515656,,Moderate,,,,2020
228358,,DK,85.0,0.0,Yes,2020
404077,,Slightly liberal,85.0,0.0,Yes,2020
227096,,DK,85.0,0.0,Yes,2020
338354,,Liberal,85.0,15.0,Yes,2020
220941,,Moderate,75.0,0.0,Yes,2020
428776,,Slightly liberal,80.0,0.0,Yes,2020
406394,,Conservative,40.0,60.0,Yes,2020
457996,,Slightly conservative,15.0,70.0,Yes,2020
431536,,Extremely Liberal,20.0,100.0,No,2020
430700,,DK,,,No,2020
202370,,Moderate,90.0,2.0,Yes,2020
356253,,Moderate,100.0,0.0,Yes,2020
433693,,Extremely conservative,30.0,100.0,Yes,2020
225151,,Slightly conservative,85.0,0.0,Yes,2020
406936,,Slightly conservative,0.0,85.0,No,2020
414302,,Moderate,0.0,100.0,Yes,2020
416681,,Moderate,70.0,70.0,No,2020
213325,,Conservative,10.0,90.0,Yes,2020
205195,,Extremely Liberal,70.0,0.0,No,2020
201728,,Conservative,0.0,100.0,Yes,2020
218696,,DK,0.0,100.0,Yes,2020
227737,,Moderate,0.0,100.0,Yes,2020
427933,,Conservative,30.0,70.0,Yes,2020
216836,,Slightly conservative,15.0,60.0,Yes,2020
456870,,Moderate,,,,2020
304153,,Moderate,60.0,40.0,No,2020
464246,,Slightly conservative,30.0,90.0,Yes,2020
458029,,Conservative,,,,2020
230504,,DK,40.0,100.0,No,2020
404701,,Conservative,0.0,100.0,No,2020
418571,,Conservative,45.0,51.0,Yes,2020
216621,,Slightly liberal,85.0,0.0,Yes,2020
361392,,Conservative,0.0,100.0,Yes,2020
204123,,Moderate,70.0,15.0,Yes,2020
227515,,Conservative,15.0,85.0,Yes,2020
410485,,Slightly liberal,85.0,0.0,Yes,2020
311809,,Moderate,100.0,50.0,Yes,2020
535100,,DK,100.0,0.0,No,2020
203816,,Conservative,,,,2020
523862,,Conservative,,,,2020
228556,,Moderate,100.0,0.0,Yes,2020
366083,,Moderate,100.0,30.0,No,2020
225328,,Conservative,30.0,85.0,Yes,2020
312703,,Conservative,15.0,100.0,Yes,2020
404244,,DK,70.0,0.0,Yes,2020
519030,,Moderate,100.0,0.0,Yes,2020
300618,,DK,,,,2020
416933,,Extremely conservative,0.0,100.0,No,2020
355168,,DK,60.0,40.0,No,2020
235271,,DK,100.0,0.0,Yes,2020
228143,,Moderate,15.0,90.0,Yes,2020
324393,,Moderate,0.0,85.0,Yes,2020
305651,,Liberal,100.0,0.0,No,2020
510514,,Slightly liberal,,,,2020
231613,,Liberal,90.0,0.0,Yes,2020
409812,,Moderate,90.0,0.0,Yes,2020
347396,,Moderate,100.0,0.0,Yes,2020
431345,,Liberal,40.0,0.0,Yes,2020
224585,,Extremely Liberal,60.0,0.0,Yes,2020
446248,,Slightly conservative,85.0,10.0,Yes,2020
200787,,Liberal,100.0,0.0,Yes,2020
451042,,Extremely conservative,30.0,85.0,Yes,2020
219590,,Extremely Liberal,70.0,0.0,Yes,2020
219125,,Conservative,0.0,100.0,Yes,2020
223957,,Liberal,100.0,0.0,Yes,2020
344908,,Slightly liberal,50.0,100.0,Yes,2020
434542,,DK,100.0,0.0,No,2020
320124,,Moderate,60.0,60.0,Yes,2020
443508,,Liberal,85.0,0.0,No,2020
424224,,Moderate,,,,2020
456764,,Conservative,0.0,70.0,Yes,2020
458814,,Slightly liberal,50.0,50.0,Yes,2020
203243,,Conservative,0.0,100.0,No,2020
225588,,Slightly conservative,0.0,85.0,Yes,2020
317944,,DK,,,,2020
201193,,Extremely conservative,0.0,100.0,Yes,2020
429878,,Conservative,15.0,85.0,Yes,2020
402316,,Moderate,85.0,0.0,Yes,2020
234735,,DK,,40.0,Yes,2020
226253,,Liberal,70.0,0.0,Yes,2020
216515,,Liberal,85.0,0.0,Yes,2020
364186,,Moderate,80.0,0.0,Yes,2020
341039,,Liberal,70.0,15.0,Yes,2020
400839,,Moderate,70.0,85.0,Yes,2020
513582,,Liberal,100.0,0.0,Yes,2020
230566,,Conservative,0.0,85.0,Yes,2020
511395,,Moderate,85.0,0.0,Yes,2020
221678,,DK,100.0,0.0,Yes,2020
215734,,Slightly liberal,70.0,20.0,Yes,2020
348658,,Slightly conservative,0.0,85.0,Yes,2020
221142,,Liberal,90.0,0.0,Yes,2020
236007,,Liberal,100.0,0.0,Yes,2020
326290,,Moderate,100.0,0.0,Yes,2020
342940,,Extremely conservative,0.0,85.0,No,2020
208880,,Extremely conservative,0.0,100.0,Yes,2020
419307,,Slightly liberal,40.0,0.0,No,2020
438506,,Slightly conservative,65.0,0.0,Yes,2020
424569,,Extremely Liberal,70.0,0.0,Yes,2020
454744,,Slightly conservative,95.0,0.0,Yes,2020
442147,,Conservative,100.0,0.0,No,2020
204246,,Slightly conservative,55.0,65.0,Yes,2020
234629,,Extremely conservative,0.0,70.0,Yes,2020
315597,,Moderate,,,,2020
365769,,Moderate,,,,2020
350033,,Moderate,60.0,15.0,,2020
