video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count,title
n3y4TnpcMM4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-07-19T19:00:24Z,2024,7,3905797,280867,7164,When she hears the news about Trump 🫢
RXXwcVix4Qs,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-07-07T21:00:13Z,2024,7,2930954,132071,2484,We don't even make adults until they hit 40
xySQ_XU6d1I,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-07-04T21:00:36Z,2024,7,9693572,444493,11347,DEI is a religion
bwi_jYniD5U,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-07-03T15:00:39Z,2024,7,1880353,102215,7846,This is their alternative to Joe Biden
Zi2Lpu4Nboo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-06-29T19:00:14Z,2024,6,2843893,136330,4906,This is amazing!
obpgbUpLH2I,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-06-23T23:00:32Z,2024,6,1544990,57231,3010,The WNBA had no revenue before Caitlin Clark
1QO3Zawoa3o,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-06-13T23:00:01Z,2024,6,3806808,170111,7341,We need a lot of people who know how to do this
byxLrAcfkr8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-06-05T01:00:30Z,2024,6,4518797,140037,3233,This is how far the Left has gone
9TKnrRIkPik,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-06-01T14:00:11Z,2024,6,1373003,36713,3269,Ben Shapiro Reacts To INSANE Woke TikToks | Volume 15
ctkPOQlYDWo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-05-27T19:00:30Z,2024,5,10016064,572170,11230,How Much Do These Students Know About What They're Protesting?
LsFYy9yXAF0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-05-27T01:00:08Z,2024,5,2746873,199272,5663,You're Not a Partnership; You're a Marriage
